
05-20 22:09:35.486  Sending ACTION_BATTERY_CHANGED: level:86, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4160, temperature:305, online:1, charging_status:0, cycle_count:0, current_avg:-36, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3193710, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:34:21.313  Sending ACTION_BATTERY_CHANGED: level:82, status:2, health:2, remain:1594, ac:true, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:1, charger_type:1, voltage:4025, temperature:305, online:19, charging_status:0, cycle_count:0, current_avg:-631, ps:false, hvc:true, current_event:0x40000000, mcc:0, mcv:0, cc:3052920, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:34:21.350  Sending ACTION_BATTERY_CHANGED: level:82, status:2, health:2, remain:1594, ac:true, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:1, charger_type:1, voltage:4025, temperature:305, online:19, charging_status:0, cycle_count:0, current_avg:-600, ps:false, hvc:true, current_event:0x40000004, mcc:0, mcv:0, cc:3052920, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:34:21.438  Sending ACTION_BATTERY_CHANGED: level:82, status:2, health:2, remain:1594, ac:true, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:1, charger_type:1, voltage:4025, temperature:305, online:19, charging_status:0, cycle_count:0, current_avg:-600, ps:false, hvc:true, current_event:0x4, mcc:0, mcv:0, cc:3052920, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:34:31.374  Sending ACTION_BATTERY_CHANGED: level:82, status:2, health:2, remain:1614, ac:true, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:1, charger_type:1, voltage:4238, temperature:310, online:19, charging_status:0, cycle_count:0, current_avg:875, ps:false, hvc:true, current_event:0x8004, mcc:0, mcv:0, cc:3049215, present:true, scale:100, technology:Li-ion, protection:0




SESION 2 EFFICIENTNET
e: 292
❯ adb shell dumpsys battery | grep temperature
  temperature: 313
