epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.9725151062011719,9.999999747378752e-06,0.08523505181074142,0.9732965230941772,0.0734739899635315
11,0.9769808053970337,9.999999747378752e-06,0.07419093698263168,0.9758747816085815,0.0673244446516037
12,0.9791906476020813,9.999999747378752e-06,0.06697038561105728,0.9786372184753418,0.0634390115737915
13,0.9811933040618896,9.999999747378752e-06,0.05977777764201164,0.979926347732544,0.05963835492730141
14,0.9822751879692078,9.999999747378752e-06,0.05544383451342583,0.9808471202850342,0.05612907186150551
15,0.9836103320121765,9.999999747378752e-06,0.05130710080265999,0.9817679524421692,0.053952623158693314
16,0.9856359958648682,9.999999747378752e-06,0.0473637692630291,0.981399655342102,0.05189376324415207
17,0.9857280850410461,9.999999747378752e-06,0.04455697163939476,0.9821363091468811,0.04996085539460182
18,0.986810028553009,9.999999747378752e-06,0.041814226657152176,0.9828729033470154,0.04864010587334633
19,0.9880990982055664,9.999999747378752e-06,0.039298586547374725,0.9830570816993713,0.04624134302139282
