epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
15,0.9675889611244202,9.999999747378752e-06,0.09465325623750687,0.979742169380188,0.05428542196750641
16,0.9703742861747742,9.999999747378752e-06,0.08600378036499023,0.9810312986373901,0.0521923191845417
17,0.9702361822128296,9.999999747378752e-06,0.08881992101669312,0.9817679524421692,0.05030163377523422
18,0.9726532101631165,9.999999747378752e-06,0.08259173482656479,0.9819521307945251,0.0492350198328495
19,0.9724230170249939,9.999999747378752e-06,0.08054260909557343,0.9832412600517273,0.04790356010198593
20,0.9750471711158752,9.999999747378752e-06,0.07346266508102417,0.9823204278945923,0.04867773503065109
21,0.9748400449752808,9.999999747378752e-06,0.0763656422495842,0.9832412600517273,0.04713175818324089
22,0.9760140180587769,9.999999747378752e-06,0.07046197354793549,0.9843462109565735,0.04511900991201401
23,0.9768427014350891,9.999999747378752e-06,0.07032747566699982,0.9850828647613525,0.04462886601686478
24,0.9774872064590454,9.999999747378752e-06,0.06874401122331619,0.9847145676612854,0.04341106116771698
